Name,Assists,Map,MatchTeams
keznit,5,Sunset,KRU VS MIBR
Laz,5,Icebox,TS VS ZETA
Wailers,5,Sunset,BBL VS M8
Foxy9,5,Bind,GEN VS DRX
SUYGETSU,5,Sunset,KC VS NAVI
stax,5,Lotus,TS VS DRX
neth,5,Ascent,T1 VS DFM
NaturE,5,Icebox,G2 VS EG
Foxy9,5,Lotus,TS VS DRX
nataNk,5,Icebox,KC VS M8
Retla,5,Sunset,BLD VS ZETA
t3xture,5,Bind,GEN VS DRX
Sayf,5,Sunset,VIT VS TH
runneR,5,Icebox,VIT VS FUT
benjyfishy,5,Split,BBL VS TH
Surf,5,Breeze,GE VS TLN
Marved,5,Split,NRG VS FUR
eeiu,5,Icebox,SEN VS 100T
grubinho,5,Split,KOI VS TL
MrFaliN,5,Bind,KC VS FUT
Lakia,5,Bind,GEN VS PRX
icy,5,Lotus,G2 VS EG
sScary,5,Icebox,BLD VS TLN
BeYN,5,Ascent,GEN VS DRX
t3xture,5,Lotus,GEN VS DFM
aspas,5,Sunset,C9 VS LEV
Sayf,5,Breeze,VIT VS TH
Estrella,5,Ascent,T1 VS RRQ
Mistic,5,Lotus,TL VS GX
xccurate,5,Split,T1 VS DRX
havoc,5,Split,NRG VS FUR
hoody,5,Breeze,KC VS GX
fl1pzjder,5,Icebox,BLD VS RRQ
mazin,5,Sunset,KRU VS MIBR
nzr,5,Breeze,KRU VS FUR
marteen,5,Sunset,KC VS NAVI
Sacy,5,Icebox,SEN VS 100T
kon4n,5,Split,NRG VS FUR
Zest,5,Split,BLD VS DFM
t3xture,5,Icebox,GEN VS PRX
TakaS,5,Icebox,KC VS M8
yetujey,5,Breeze,KC VS FUT
ANGE1,5,Split,KC VS NAVI
kon4n,5,Lotus,KRU VS FUR
MrFaliN,5,Icebox,VIT VS FUT
Anthem,5,Lotus,GEN VS DFM
Boostio,5,Bind,G2 VS 100T
Medusa,5,Sunset,T1 VS DFM
ANGE1,5,Bind,VIT VS NAVI
Boo,5,Split,BBL VS TH
beyAz,5,Lotus,M8 VS FNC
xccurate,5,Sunset,T1 VS DFM
Retla,5,Lotus,BLD VS DFM
bang,5,Split,SEN VS 100T
Enzo,5,Ascent,TL VS NAVI
nataNk,5,Breeze,M8 VS FNC
Victor,5,Breeze,NRG VS LOUD
nAts,5,Ascent,KOI VS TL
OXY,5,Sunset,C9 VS LEV
trent,5,Split,G2 VS 100T
something,5,Lotus,GEN VS PRX
tex,4,Icebox,C9 VS LEV
MiniBoo,4,Sunset,BBL VS TH
JessieVash,4,Breeze,TS VS RRQ
runneR,4,Ascent,VIT VS FUT
moose,4,Sunset,C9 VS EG
qRaxs,4,Breeze,KC VS FUT
Zyppan,4,Split,TL VS NAVI
ban,4,Lotus,BLD VS TLN
blaZek1ng,4,Breeze,GE VS TLN
tex,4,Sunset,C9 VS LEV
Derke,4,Lotus,FNC VS TH
Dep,4,Sunset,TS VS ZETA
Less,4,Sunset,NRG VS LOUD
Klaus,4,Lotus,KRU VS FUR
OXY,4,Split,C9 VS EG
icy,4,Bind,G2 VS 100T
Chronicle,4,Icebox,FNC VS TH
Jinggg,4,Lotus,GEN VS PRX
Khalil,4,Breeze,KRU VS FUR
ANGE1,4,Lotus,TL VS NAVI
MaKo,4,Ascent,GEN VS DRX
Dep,4,Lotus,TS VS ZETA
Deryeon,4,Lotus,BLD VS DFM
QutionerX,4,Sunset,BBL VS TH
t3xture,4,Split,GEN VS DFM
Derke,4,Lotus,M8 VS FNC
pAura,4,Breeze,BBL VS KOI
BORKUM,4,Lotus,TS VS ZETA
