Name,Kills,Map,MatchTeams
yay,15,Ascent,BLD VS DFM
TenZ,15,Icebox,SEN VS 100T
Lightningfast,15,Ascent,GE VS ZETA
xccurate,15,Breeze,T1 VS DRX
QutionerX,15,Icebox,BBL VS KOI
SugarZ3ro,15,Ascent,BLD VS ZETA
xffero,15,Split,TS VS RRQ
d4v41,15,Lotus,T1 VS PRX
MrFaliN,15,Icebox,VIT VS FUT
Shao,15,Lotus,TL VS NAVI
Benkai,15,Lotus,GE VS DRX
invy,15,Sunset,TS VS DRX
runi,15,Sunset,C9 VS EG
Derke,15,Bind,FNC VS GX
jzz,15,Icebox,KRU VS MIBR
Carpe,15,Lotus,T1 VS DFM
nzr,15,Breeze,NRG VS FUR
iZu,15,Ascent,T1 VS DFM
Meiy,15,Split,BLD VS DFM
Retla,15,Ascent,BLD VS ZETA
Enzo,15,Icebox,TL VS FUT
Surf,15,Breeze,GE VS TLN
Derrek,15,Lotus,C9 VS EG
ceNder,15,Sunset,VIT VS TH
Sayf,15,Icebox,VIT VS TH
sh1n,15,Breeze,KC VS GX
eeiu,15,Split,G2 VS 100T
Marved,15,Split,NRG VS FUR
yetujey,15,Sunset,VIT VS FUT
johnqt,15,Icebox,SEN VS 100T
Melser,15,Lotus,KRU VS FUR
nataNk,15,Split,KC VS M8
Jamppi,15,Lotus,TL VS GX
johnqt,15,Split,SEN VS 100T
yuran,15,Icebox,GE VS ZETA
hiroronn,15,Icebox,GE VS ZETA
stax,15,Split,GEN VS DRX
Dep,15,Ascent,GE VS ZETA
fl1pzjder,15,Icebox,TS VS RRQ
cNed,15,Icebox,TL VS FUT
N4RRATE,15,Lotus,KC VS FUT
sScary,15,Bind,BLD VS TLN
Alfajer,15,Bind,FNC VS KOI
t3xture,15,Icebox,GEN VS PRX
NDG,15,Breeze,TS VS RRQ
nataNk,15,Icebox,KC VS M8
yay,15,Bind,BLD VS TLN
Alfajer,15,Breeze,FNC VS GX
Anthem,15,Sunset,T1 VS DFM
ardiis,15,Bind,KC VS NAVI
Laz,15,Icebox,TS VS ZETA
lenne,15,Ascent,GEN VS TLN
Foxy9,15,Lotus,TS VS DRX
ban,15,Icebox,BLD VS TLN
sScary,15,Ascent,BLD VS ZETA
ceNder,15,Sunset,VIT VS FUT
Alfajer,15,Bind,FNC VS GX
marteen,15,Breeze,KC VS GX
ANGE1,15,Sunset,KC VS NAVI
Shyy,15,Breeze,KRU VS FUR
Surf,15,Bind,BLD VS TLN
vanity,15,Ascent,C9 VS LEV
Quick,15,Breeze,NRG VS LOUD
Meiy,15,Ascent,BLD VS DFM
ShadoW,15,Ascent,KOI VS TL
leaf,15,Icebox,G2 VS EG
cNed,15,Ascent,VIT VS FUT
ardiis,15,Split,KC VS NAVI
Jinggg,15,Bind,GEN VS PRX
Melser,15,Sunset,KRU VS MIBR
Lakia,15,Bind,GEN VS DRX
ANGE1,15,Ascent,TL VS NAVI
Elite,15,Split,BBL VS TH
Chronicle,15,Breeze,M8 VS FNC
Shao,15,Ascent,TL VS NAVI
JessieVash,14,Icebox,TS VS ZETA
hiroronn,14,Lotus,BLD VS ZETA
N4RRATE,14,Sunset,KC VS NAVI
tomaszy,14,Bind,KC VS FUT
marteen,14,Breeze,KC VS FUT
Redgar,14,Icebox,TL VS GX
runneR,14,Breeze,VIT VS TH
reazy,14,Split,BBL VS TH
artzin,14,Icebox,KRU VS MIBR
hiroronn,14,Sunset,GE VS ZETA
marteen,14,Icebox,KC VS M8
NDG,14,Split,TS VS RRQ
Xeppaa,14,Sunset,C9 VS EG
JessieVash,14,Sunset,TS VS ZETA
marteen,14,Split,KC VS NAVI
kon4n,14,Breeze,NRG VS FUR
AtaKaptan,14,Split,TL VS FUT
Sacy,14,Split,SEN VS 100T
Dep,14,Lotus,BLD VS ZETA
hiroronn,14,Sunset,BLD VS ZETA
kon4n,14,Icebox,KRU VS FUR
Leo,14,Icebox,FNC VS TH
Jremy,14,Icebox,TS VS ZETA
Chronicle,14,Icebox,FNC VS KOI
Jremy,14,Sunset,TS VS ZETA
Khalil,14,Lotus,KRU VS FUR
NDG,14,Lotus,TS VS ZETA
Surf,14,Icebox,BLD VS TLN
Meteor,14,Split,GEN VS DFM
Dep,14,Sunset,BLD VS ZETA
AtaKaptan,14,Icebox,TL VS FUT
Governor,14,Icebox,GE VS TLN
leaf,14,Split,G2 VS 100T
Sayf,14,Ascent,VIT VS FUT
moose,14,Icebox,C9 VS LEV
Klaus,14,Sunset,KRU VS MIBR
Jamppi,14,Icebox,TL VS FUT
Karon,14,Ascent,GEN VS DRX
artzin,14,Sunset,KRU VS MIBR
MaKo,14,Lotus,GE VS DRX
Khalil,14,Icebox,KRU VS FUR
ceNder,14,Bind,VIT VS NAVI
sh1n,14,Sunset,KC VS GX
JitBoyS,14,Lotus,GE VS TLN
yetujey,14,Breeze,KC VS FUT
hiroronn,14,Sunset,TS VS ZETA
neth,14,Lotus,BLD VS DFM
nAts,14,Icebox,TL VS FUT
Jemkin,14,Icebox,BLD VS RRQ
Zellsis,14,Split,SEN VS 100T
Meteor,14,Split,GEN VS DRX
RgLMeister,14,Sunset,KRU VS MIBR
Munchkin,14,Split,GEN VS DFM
crashies,14,Split,NRG VS FUR
iZu,14,Lotus,T1 VS PRX
jzz,14,Sunset,KRU VS MIBR
ban,14,Bind,BLD VS TLN
Mistic,14,Split,KOI VS TL
Victor,14,Breeze,NRG VS LOUD
MAGNUM,14,Breeze,KC VS FUT
Jemkin,14,Lotus,BLD VS RRQ
Cryocells,14,Split,SEN VS 100T
Leo,14,Icebox,FNC VS KOI
TenZ,14,Split,SEN VS 100T
Anthem,14,Lotus,BLD VS DFM
Jemkin,14,Breeze,TS VS RRQ
stax,14,Breeze,T1 VS DRX
Zyppan,14,Split,TL VS NAVI
Anthem,14,Split,GEN VS DFM
Apoth,14,Lotus,G2 VS EG
invy,14,Sunset,TS VS ZETA
stax,14,Split,T1 VS DRX
beyAz,14,Split,KC VS M8
Deryeon,14,Icebox,BLD VS TLN
bang,14,Split,G2 VS 100T
yay,14,Icebox,BLD VS TLN
Russ,14,Icebox,GE VS TLN
marteen,14,Split,KC VS M8
Benkai,14,Ascent,GE VS ZETA
Carpe,14,Ascent,T1 VS DFM
f0rsakeN,14,Lotus,GEN VS PRX
Deryeon,14,Lotus,BLD VS ZETA
MAGNUM,14,Split,KC VS NAVI
Medusa,14,Lotus,BLD VS DFM
Boostio,14,Bind,G2 VS 100T
Mistic,14,Ascent,TL VS GX
purp0,14,Split,FNC VS GX
Estrella,14,Icebox,TS VS RRQ
jawgemo,14,Sunset,C9 VS EG
Lakia,14,Lotus,GEN VS DFM
Laz,14,Sunset,TS VS ZETA
blaZek1ng,14,Ascent,GE VS ZETA
Lightningfast,14,Lotus,GE VS TLN
Sayaplayer,14,Sunset,T1 VS DFM
logaN,14,Breeze,M8 VS FNC
JessieVash,14,Breeze,TS VS RRQ
pAura,14,Sunset,BBL VS TH
t3xture,14,Lotus,GEN VS DFM
Governor,14,Lotus,GE VS TLN
xffero,14,Lotus,T1 VS RRQ
runneR,14,Sunset,VIT VS FUT
kiNgg,14,Sunset,C9 VS LEV
starxo,14,Bind,FNC VS KOI
NaturE,14,Icebox,G2 VS EG
kamo,14,Split,KOI VS TL
heat,14,Icebox,KRU VS MIBR
zekken,14,Icebox,SEN VS 100T
Lakia,14,Lotus,GEN VS TLN
ANGE1,14,Split,TL VS NAVI
blaZek1ng,13,Breeze,GE VS TLN
Medusa,13,Split,GEN VS DFM
SugarZ3ro,13,Lotus,BLD VS ZETA
Laz,13,Sunset,GE VS ZETA
starxo,13,Breeze,BBL VS KOI
benjyfishy,13,Icebox,VIT VS TH
logaN,13,Split,KC VS M8
SUYGETSU,13,Sunset,KC VS NAVI
pAura,13,Split,BBL VS TH
xccurate,13,Bind,T1 VS DRX
Estrella,13,Lotus,T1 VS RRQ
Leo,13,Bind,FNC VS GX
nAts,13,Ascent,TL VS GX
Shyy,13,Sunset,KRU VS MIBR
hoody,13,Breeze,FNC VS GX
beyAz,13,Ascent,BBL VS M8
Melser,13,Icebox,KRU VS FUR
ShadoW,13,Split,KOI VS TL
ceNder,13,Ascent,VIT VS FUT
Crws,13,Breeze,GE VS TLN
C0M,13,Ascent,C9 VS LEV
MaKo,13,Ascent,GEN VS DRX
Rossy,13,Ascent,T1 VS DFM
qRaxs,13,Split,TL VS FUT
Wailers,13,Ascent,BBL VS M8
JitBoyS,13,Icebox,BLD VS TLN
mwzera,13,Breeze,KRU VS FUR
paTiTek,13,Split,BBL VS TH
xccurate,13,Lotus,T1 VS DFM
tex,13,Icebox,C9 VS LEV
xffero,13,Lotus,BLD VS RRQ
SSeeS,13,Ascent,T1 VS DFM
Jemkin,13,Ascent,T1 VS RRQ
Medusa,13,Lotus,T1 VS DFM
neth,13,Lotus,T1 VS DFM
moose,13,Split,C9 VS EG
BuZz,13,Split,GEN VS DRX
mindfreak,13,Bind,T1 VS PRX
sScary,13,Sunset,BLD VS ZETA
stax,13,Lotus,TS VS DRX
Kicks,13,Sunset,VIT VS FUT
Rossy,13,Bind,T1 VS DRX
Kicks,13,Breeze,VIT VS TH
Cloud,13,Breeze,FNC VS GX
Klaus,13,Breeze,KRU VS FUR
Karon,13,Bind,GEN VS DRX
TakaS,13,Ascent,BBL VS M8
moose,13,Lotus,C9 VS EG
qRaxs,13,Bind,KC VS FUT
Leo,13,Split,FNC VS GX
Deryeon,13,Lotus,BLD VS DFM
JitBoyS,13,Ascent,GEN VS TLN
Meiy,13,Lotus,BLD VS DFM
Zest,13,Lotus,BLD VS ZETA
hiroronn,13,Icebox,TS VS ZETA
paTiTek,13,Icebox,FNC VS TH
